Index,Company,sector,annual_return_log,Std,Skewness,Kurtosis
59,BKR,Energy,-0.024205619,0.7321882842209343,-0.381237641,5.749244414441025
60,BLL,Materials,0.32038156219905456,0.4073064310796994,-0.013483593,5.221092654144073
61,BAC,Financials,-0.117692391,0.6070491905631951,0.009076283787912637,4.6625864317408965
62,BK,Financials,-0.097446353,0.49875997975628317,-0.223302431,6.5018095376213765
63,BAX,Health Care,-0.137180501,0.381055434353151,-0.125058551,6.223428757381354
64,BDX,Health Care,-0.103980378,0.38082340870885806,-0.737696573,6.197214671049265
65,BRK-B,Financials,-0.023625078,0.36263246081791106,-0.22706552,6.593273952144521
66,BBY,Consumer Discretionary,0.16776020524072835,0.5358234187122322,-0.214113657,5.001576420658136
67,BIO,Health Care,0.4776254520431849,0.424037364625321,-0.262508445,1.911371353613979
68,BIIB,Health Care,-0.157371644,0.6909449830872678,0.9109321290592798,34.6319027387564
69,BLK,Financials,0.331967405672122,0.49690473573278304,-0.385174446,4.883275492871866
70,BA,Industrials,-0.384429619,0.9120616742890593,-0.299445921,4.758425063545909
71,BKNG,Consumer Discretionary,0.04086221140628561,0.5355601871273749,0.39550005715536957,4.590179549274518
72,BWA,Consumer Discretionary,-0.039100866,0.5244796591673695,-0.2365738,2.467225263377684
73,BXP,Real Estate,-0.395420781,0.6054789336669663,-0.213708779,6.246587080802858
74,BSX,Health Care,-0.257908856,0.4614813603405172,-0.919145178,4.319950000483792
75,BMY,Health Care,-0.066087059,0.306563275496276,-0.219827244,2.974309740166172
76,AVGO,Information Technology,0.4077745644810876,0.5402136549389407,-1.499096875,11.880810431670625
77,BR,Information Technology,0.1510914452663618,0.37375788982081254,0.1447525229995849,4.962534981465304
78,BF-B,Consumer Staples,0.11667166564698979,0.4134565858074877,-0.2274436,8.34506942993139
79,CHRW,Industrials,0.19379227175791178,0.33701039920559434,-0.520078347,6.404666892056412
80,COG,Energy,0.11239188389512807,0.5324125389391365,0.4643518840786923,3.108089767919031
81,CDNS,Information Technology,0.6135191338166704,0.47833817536422046,-0.23822509,3.508173324442099
82,CPB,Consumer Staples,0.013840944028792027,0.33328280683472356,0.07657598817084342,4.326347243167344
83,COF,Financials,-0.054983039,0.7606305393430268,-0.681133462,5.84942646434977
84,CAH,Health Care,0.029215516109603826,0.47359551948127365,0.0583279398978398,3.0947855906633173
